address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
69a-derby-street-kew-vic-3101,1515000,06-Aug-2021,2,1,2,252,m2,House,https://www.domain.com.au/69a-derby-street-kew-vic-3101-2017128950,,0.5-2.3-6.6,3,Aug/2021/1515000.0/SOLD-Aug/2017/1187000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59-brougham-street-kew-vic-3101,1376000,18-Feb-2021,2,1,2,350,m2,House,https://www.domain.com.au/59-brougham-street-kew-vic-3101-2016760797,Secure Parking*-Garden*,0.2-2.3-2.5,3,Feb/2021/1376000.0/SOLD-Dec/1990/420.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-gladstone-street-kew-vic-3101,1367500,13-Feb-2021,2,1,2,306,m2,House,https://www.domain.com.au/15-gladstone-street-kew-vic-3101-2016740133,Air conditioning*-Built in wardrobes*-Secure Parking*-Heating*-Garden*,0.7-2-6.5,3,Feb/2021/675.0/SOLD-Nov/2013/1367500.0/SOLD,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12-derrick-street-kew-vic-3101,1640000,21-Nov-2020,2,2,2,340,m2,House,https://www.domain.com.au/12-derrick-street-kew-vic-3101-2016577813,,0.2-2-2.5,3,Nov/2020/1640000.0/SOLD-Mar/1986/65000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1295-burke-road-kew-vic-3101,960000,31-Jul-2020,2,1,1,265,m2,House,https://www.domain.com.au/4-1295-burke-road-kew-vic-3101-2016382829,,0.5-1.1-5.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-disraeli-street-kew-vic-3101,1350000,26-May-2020,2,1,1,355,m2,House,https://www.domain.com.au/102-disraeli-street-kew-vic-3101-2016240590,,0.7-1.8-6.2,3,May/2020/620.0/SOLD-Mar/2017/1350000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39-may-street-kew-vic-3101,1542000,14-Dec-2019,2,1,2,230,m2,House,https://www.domain.com.au/39-may-street-kew-vic-3101-2015883096,,1.1-1.3-2.4,3,Dec/2019/1542000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-first-avenue-kew-vic-3101,2006000,19-Oct-2019,2,1,2,646,m2,House,https://www.domain.com.au/17-first-avenue-kew-vic-3101-2015671188,,0.8-0.9-5.2,3,Oct/2019/2005999.9999999998/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93-stevenson-street-kew-vic-3101,2800000,02-Nov-2018,2,2,2,608,m2,House,https://www.domain.com.au/93-stevenson-street-kew-vic-3101-2014724706,Study,1-1.5-1.5,3,Nov/2018/2800000.0/SOLD-Nov/2011/2000000.0/SOLD-Jun/1999/460000.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-wishart-street-kew-vic-3101,1370000,31-Aug-2018,2,2,1,274,m2,House,https://www.domain.com.au/18-wishart-street-kew-vic-3101-2014353614,,0.6-1.2-5.8,3,Aug/2018/900.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
