address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
148-brown-street-heidelberg-vic-3084,Heidelberg,1430000,13-Nov-2021,2,1,1,680,m2,House,https://www.domain.com.au/148-brown-street-heidelberg-vic-3084-2017327947,,0.7-2.5-0.6,3,Nov/2021/1430000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202-hawdon-street-heidelberg-vic-3084,Heidelberg,1010000,17-Jul-2021,2,2,1,271,m2,House,https://www.domain.com.au/202-hawdon-street-heidelberg-vic-3084-2017113371,Air conditioning-Study-Gas Heating-Secure Parking,0.8-2-1.1,3,Jul/2021/1010000.0/SOLD-Dec/2012/450.0/SOLD,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-bronte-street-heidelberg-vic-3084,Heidelberg,1001000,27-Mar-2021,2,1,1,443,m2,House,https://www.domain.com.au/1-bronte-street-heidelberg-vic-3084-2016838047,,0.6-2.1-0.9,3,Mar/2021/1000999.9999999999/SOLD-Jul/2013/485.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97-buckingham-drive-heidelberg-vic-3084,Heidelberg,920000,06-Jul-2019,2,2,2,653,m2,House,https://www.domain.com.au/97-buckingham-drive-heidelberg-vic-3084-2015335237,,0.5-0.7-1.4,3,Jun/2019/920000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-learmonth-street-heidelberg-vic-3084,Heidelberg,1010000,30-Apr-2016,2,1,1,621,m2,House,https://www.domain.com.au/5-learmonth-street-heidelberg-vic-3084-2012707749,,1-2.1-1,3,Apr/2016/1010000.0/SOLD-Oct/2004/407000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-cartmell-street-heidelberg-vic-3084,Heidelberg,800000,26-Sep-2015,2,1,1,263,m2,House,https://www.domain.com.au/18-cartmell-street-heidelberg-vic-3084-2012228878,,0.2-2.4-0.3,3,Sep/2015/800000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124-brown-street-heidelberg-vic-3084,Heidelberg,895000,06-Dec-2014,2,2,2,761,m2,House,https://www.domain.com.au/124-brown-street-heidelberg-vic-3084-2011579215,,0.5-2.4-0.7,3,Dec/2014/895000.0/SOLD-Sep/1995/164000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-bronte-street-heidelberg-vic-3084,Heidelberg,882000,01-Mar-2014,2,1,1,834,m2,House,https://www.domain.com.au/35-bronte-street-heidelberg-vic-3084-2010966035,,0.8-2.2-0.9,3,Mar/2014/882000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53-mortimer-street-heidelberg-vic-3084,Heidelberg,760000,20-Aug-2011,2,2,2,708,m2,House,https://www.domain.com.au/53-mortimer-street-heidelberg-vic-3084-2009130055,,1.1-2-1,3,Aug/2011/760000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46-buckingham-drive-heidelberg-vic-3084,Heidelberg,1800000,04-Dec-2021,3,2,2,646,m2,House,https://www.domain.com.au/46-buckingham-drive-heidelberg-vic-3084-2017400478,Remote Garage Control-Balcony-Rumpus Room,0.8-1-1.6,3,Dec/2021/1800000.0/SOLD-Feb/2012/862500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
157-brown-street-heidelberg-vic-3084,Heidelberg,1270000,01-Dec-2021,3,1,1,557,m2,House,https://www.domain.com.au/157-brown-street-heidelberg-vic-3084-2017390481,,0.8-2.5-0.6,3,Dec/2021/1270000.0/SOLD-Nov/2020/980000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-rill-street-heidelberg-vic-3084,Heidelberg,1585000,06-Nov-2021,3,1,2,669,m2,House,https://www.domain.com.au/18-rill-street-heidelberg-vic-3084-2017309809,,0.7-2.4-0.9,3,Nov/2021/1585000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-radnor-street-heidelberg-vic-3084,Heidelberg,1500000,30-Oct-2021,3,1,1,827,m2,House,https://www.domain.com.au/16-radnor-street-heidelberg-vic-3084-2017296808,,0.9-2.1-1.1,3,Oct/2021/1500000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-manton-street-heidelberg-vic-3084,Heidelberg,1500000,30-Oct-2021,3,1,2,653,m2,House,https://www.domain.com.au/24-manton-street-heidelberg-vic-3084-2017340116,,0.5-2-0.9,3,Nov/2021/1500000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-quinn-street-heidelberg-vic-3084,Heidelberg,1546500,16-Oct-2021,3,1,2,663,m2,House,https://www.domain.com.au/50-quinn-street-heidelberg-vic-3084-2017275102,,0.7-1.6-1.1,3,Oct/2021/1546500.0/SOLD-Jun/1985/116000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64-hodgson-street-heidelberg-vic-3084,Heidelberg,1465000,08-Oct-2021,3,2,3,982,m2,House,https://www.domain.com.au/64-hodgson-street-heidelberg-vic-3084-2017271113,,0.6-1.4-1.2,3,Oct/2021/1465000.0/SOLD-Dec/1997/220000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41-gloucester-drive-heidelberg-vic-3084,Heidelberg,1360000,13-Sep-2021,3,1,2,591,m2,House,https://www.domain.com.au/41-gloucester-drive-heidelberg-vic-3084-2017240344,,0.5-0.9-1.4,3,Sep/2021/1360000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
