address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
205-hampshire-road-sunshine-vic-3020,Sunshine,3300000,05-Feb-2020,1,2,7,512,m2,House,https://www.domain.com.au/205-hampshire-road-sunshine-vic-3020-2015023595,,0.6-2.7-3.6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205-hampshire-road-sunshine-vic-3020,Sunshine,3000000,09-Mar-2017,1,1,7,512,m2,House,https://www.domain.com.au/205-hampshire-road-sunshine-vic-3020-2013379757,,0.6-2.7-3.6,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420---424-ballarate-road-sunshine-vic-3020,Sunshine,930000,05-Oct-2012,1,1,2,1837,m2,House,https://www.domain.com.au/420-424-ballarate-road-sunshine-vic-3020-2010000721,,0.7-2.2-3.3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42-ardoyne-street-sunshine-vic-3020,Sunshine,431000,31-Oct-2021,2,1,1,292,m2,House,https://www.domain.com.au/42-ardoyne-street-sunshine-vic-3020-2017196575,,0.8-0.9-4,3,Oct/2021/431000.0/SOLD-Aug/1991/74000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52-ardoyne-street-sunshine-vic-3020,Sunshine,870000,23-Oct-2021,2,1,1,570,m2,House,https://www.domain.com.au/52-ardoyne-street-sunshine-vic-3020-2017276848,Secure Parking*,0.7-0.8-3.9,3,Oct/2021/870000.0/SOLD-Jul/2015/471000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153-cornwall-road-sunshine-vic-3020,Sunshine,915000,18-Jul-2021,2,1,1,510,m2,House,https://www.domain.com.au/153-cornwall-road-sunshine-vic-3020-2017079798,,0.5-0.5-1.2,3,Jul/2021/915000.0/SOLD-Mar/2015/330.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-neil-street-sunshine-vic-3020,Sunshine,1360000,01-May-2021,2,1,3,600,m2,House,https://www.domain.com.au/9-neil-street-sunshine-vic-3020-2016909296,,0.9-2.4-3.5,3,May/2021/300.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-stonemark-street-sunshine-vic-3020,Sunshine,839000,19-Apr-2021,2,1,3,515,m2,House,https://www.domain.com.au/9-stonemark-street-sunshine-vic-3020-2016880043,,0.8-2.2-3.4,3,Apr/2021/839000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37-boreham-street-sunshine-vic-3020,Sunshine,685000,12-Apr-2021,2,1,4,561,m2,House,https://www.domain.com.au/37-boreham-street-sunshine-vic-3020-2016872712,,1-4.2-4.8,3,Apr/2021/685000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-mellor-street-sunshine-vic-3020,Sunshine,830000,20-Feb-2021,2,2,1,527,m2,House,https://www.domain.com.au/11-mellor-street-sunshine-vic-3020-2016745887,Air conditioning,0.8-2.3-3.4,3,Feb/2021/830000.0/SOLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-stonemark-street-sunshine-vic-3020,Sunshine,637000,09-Feb-2021,2,1,2,321,m2,House,https://www.domain.com.au/8-stonemark-street-sunshine-vic-3020-2016621676,,0.7-2.3-3.4,3,Jan/2021/637000.0/SOLD-Jan/2001/156500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-alice-street-sunshine-vic-3020,Sunshine,615000,21-Dec-2020,2,2,1,330,m2,House,https://www.domain.com.au/29-alice-street-sunshine-vic-3020-2016288843,,0.2-0.7-1.1,3,Dec/2020/615000.0/SOLD-Feb/2017/1050000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-dickson-street-sunshine-vic-3020,Sunshine,1020000,02-Mar-2020,2,1,2,743,m2,House,https://www.domain.com.au/75-dickson-street-sunshine-vic-3020-2016042749,,0.6-1.4-3,3,Feb/2020/1020000.0/SOLD-Nov/1995/100.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-cornwall-road-sunshine-vic-3020,Sunshine,915000,28-Oct-2019,2,1,3,631,m2,House,https://www.domain.com.au/18-cornwall-road-sunshine-vic-3020-2015681975,,0.8-1.7-3.6,3,Oct/2019/915000.0/SOLD-Feb/1995/103000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a-mellor-street-sunshine-vic-3020,Sunshine,591000,21-Oct-2019,2,1,3,298,m2,House,https://www.domain.com.au/2a-mellor-street-sunshine-vic-3020-2015653988,,0.8-2.4-3.5,3,Oct/2019/591000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-neil-street-sunshine-vic-3020,Sunshine,1030000,23-Sep-2019,2,1,1,497,m2,House,https://www.domain.com.au/24-neil-street-sunshine-vic-3020-2015537299,,0.9-2.4-3.5,3,Sep/2019/1030000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-ernest-street-sunshine-vic-3020,Sunshine,620000,06-Jul-2019,2,1,1,517,m2,House,https://www.domain.com.au/10-ernest-street-sunshine-vic-3020-2015333643,,0.3-0.5-1,3,Jul/2019/620000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97-wright-street-sunshine-vic-3020,Sunshine,505000,31-May-2019,2,1,2,562,m2,House,https://www.domain.com.au/97-wright-street-sunshine-vic-3020-2014813240,Built in wardrobes-Floorboards-Carport-Fully fenced-Open car spaces,0.6-0.6-3.8,3,Apr/2019/505000.0/SOLD-May/1994/62500.0/SOLD,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
