"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
boatshed-148-dromana-vic-3936,400000,16-Sep-2021,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-148-dromana-vic-3936-2016785536,Garden*-Water Views,0.9-4.4,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
boatshed-226-dromana-foreshore-dromana-vic-3936,367000,22-Aug-2021,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-226-dromana-foreshore-dromana-vic-3936-2016723057,,2.4-2.5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20-callas-street-dromana-vic-3936,510000,03-Mar-2021,1,1,2,-1,None,House,https://www.domain.com.au/1-20-callas-street-dromana-vic-3936-2016517171,Heating,1.7-3.1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beachbox-58-dromana-vic-3936,165800,28-Jan-2021,1,1,1,-1,None,House,https://www.domain.com.au/beachbox-58-dromana-vic-3936-2016758060,Garden*-Balcony / Deck*,0.5-4.3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
bathing-box-41-dromana-foreshore-dromana-vic-3936,180000,12-Jan-2021,1,1,-1,-1,None,House,https://www.domain.com.au/bathing-box-41-dromana-foreshore-dromana-vic-3936-2016723394,,1.2-4.2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boatshed-134-dromana-foreshore-dromana-vic-3936,392500,07-Jan-2021,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-134-dromana-foreshore-dromana-vic-3936-2016668045,,1.2-4.2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boatshed-99-dromana-foreshore-dromana-vic-3936,410000,04-Jan-2021,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-99-dromana-foreshore-dromana-vic-3936-2016723056,,2.4-2.5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boatshed-72-dromana-foreshore-dromana-vic-3936,170000,09-Aug-2020,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-72-dromana-foreshore-dromana-vic-3936-2015001505,,2.4-2.5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing-box-37-dromana-foreshore-dromana-vic-3936,128500,08-Aug-2020,1,1,-1,-1,None,House,https://www.domain.com.au/bathing-box-37-dromana-foreshore-dromana-vic-3936-2015840003,,0.5-4.3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boatshed-160-dromana-foreshore-dromana-vic-3936,310000,16-Jul-2020,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-160-dromana-foreshore-dromana-vic-3936-2014906078,,2.2-2.5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boatshed-112-dromana-vic-3936,380000,08-Jan-2020,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-112-dromana-vic-3936-2015897493,,3.3-3.4,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beach-box-109-dromana-foreshore-dromana-vic-3936,212500,19-Nov-2018,1,1,-1,-1,None,House,https://www.domain.com.au/beach-box-109-dromana-foreshore-dromana-vic-3936-2014778990,,1.6-3.9,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
