"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
1/74-warrandyte-road-ringwood-vic-3134,258000,06-Aug-2021,1,1,1,86,m2,Retirement Living,https://www.domain.com.au/1-74-warrandyte-road-ringwood-vic-3134-2017123668,Gas*-Internal Laundry*-Broadband internet access*-Bath*-Built in wardrobes-Garden / Courtyard-Dishwasher-Fully fenced-Heating-Shed,0.9-1.2-1.2,3,
6/74-warrandyte-road-ringwood-vic-3134,259000,27-May-2021,1,1,-1,83,m2,Retirement Living,https://www.domain.com.au/6-74-warrandyte-road-ringwood-vic-3134-2016846899,Built in wardrobes*-Internal Laundry*-Pets Allowed*-Garden*,0.9-1.2-1.2,3,
18/74-warrandyte-road-ringwood-vic-3134,290000,23-Mar-2020,1,1,1,-1,None,House,https://www.domain.com.au/18-74-warrandyte-road-ringwood-vic-3134-2014905029,Air conditioning-Built in wardrobes-Close to shops-Close to transport-Garden,0.8-1.1-1.2,3,
17-hillcrest-avenue-ringwood-vic-3134,557000,30-Nov-2019,1,1,-1,975,m2,House,https://www.domain.com.au/17-hillcrest-avenue-ringwood-vic-3134-2015844043,,0.8-2.1-1.5,3,Nov/2019/557000.0/SOLD-Aug/2018/495000.0/SOLD-Mar/2017/455000.0/SOLD
365-maroondah-highway-ringwood-vic-3134,825000,19-Nov-2021,2,1,1,346,m2,House,https://www.domain.com.au/365-maroondah-highway-ringwood-vic-3134-2017392030,Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Study,0.8-1-1.4,3,Nov/2021/825000.0/SOLD-Nov/2014/442000.0/SOLD-Mar/2009/293500.0/SOLD
20-pratt-street-ringwood-vic-3134,1400000,28-Sep-2021,2,1,1,707,m2,House,https://www.domain.com.au/20-pratt-street-ringwood-vic-3134-2017216136,Secure Parking*,0.8-1.4-0.5,3,Sep/2021/1400000.0/SOLD
5a-andrew-street-ringwood-vic-3134,675000,11-Sep-2021,2,1,2,-1,None,House,https://www.domain.com.au/5a-andrew-street-ringwood-vic-3134-2017223043,Air conditioning*-Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*,0.9-1.4-1,3,Sep/2021/675000.0/SOLD
347-maroondah-highway-ringwood-vic-3134,830000,03-Sep-2021,2,1,2,733,m2,House,https://www.domain.com.au/347-maroondah-highway-ringwood-vic-3134-2017077151,,0.8-1.1-1.3,3,Sep/2021/830000.0/SOLD
2a-surrey-street-ringwood-vic-3134,852000,26-Jun-2021,2,2,2,259,m2,House,https://www.domain.com.au/2a-surrey-street-ringwood-vic-3134-2017025890,,0.9-1.3-5.1,3,Jun/2021/852000.0/SOLD-Dec/2009/400000.0/SOLD-May/2006/271000.0/SOLD
6/10-wildwood-grove-ringwood-vic-3134,535000,27-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/6-10-wildwood-grove-ringwood-vic-3134-2016994636,Air conditioning*-Secure Parking*-Heating*-Garden*,1-1.4-1,3,
4/8-12-albert-street-ringwood-vic-3134,365000,04-May-2021,2,1,-1,118,m2,Retirement Living,https://www.domain.com.au/4-8-12-albert-street-ringwood-vic-3134-2016951332,Internal Laundry*-Broadband internet access*-Built in wardrobes-Garden / Courtyard-Heating-Air conditioning,1.2-1.3-5.4,3,
2/13-heather-grove-ringwood-vic-3134,750000,01-May-2021,2,1,1,278,m2,House,https://www.domain.com.au/2-13-heather-grove-ringwood-vic-3134-2016921455,Heating*-Garden*-Balcony / Deck*,1.4-1.7-4.6,3,
4/74-warrandyte-road-ringwood-vic-3134,395000,21-Apr-2021,2,1,1,122,m2,Retirement Living,https://www.domain.com.au/4-74-warrandyte-road-ringwood-vic-3134-2016891330,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Garden*,0.9-1.2-1.2,3,
6-kirk-street-ringwood-vic-3134,1325000,20-Mar-2021,2,1,2,993,m2,House,https://www.domain.com.au/6-kirk-street-ringwood-vic-3134-2016822817,Close to transport-Close to shops-Close to schools,1-1.3-5.2,3,Mar/2021/350.0/SOLD
10-mckay-court-ringwood-vic-3134,1150000,15-Mar-2021,2,1,1,1122,m2,House,https://www.domain.com.au/10-mckay-court-ringwood-vic-3134-2016759693,Air conditioning*-Secure Parking*-Garden*,0.8-1-4.9,3,Mar/2021/1150000.0/SOLD
49-heatherdale-road-ringwood-vic-3134,847000,15-Feb-2021,2,1,1,738,m2,House,https://www.domain.com.au/49-heatherdale-road-ringwood-vic-3134-2016672349,Garden*,0.9-2.3-4.4,3,Feb/2021/847000.0/SOLD-Dec/2019/575000.0/SOLD
5/2-william-street-ringwood-vic-3134,571000,13-Feb-2021,2,1,1,-1,None,Villa,https://www.domain.com.au/5-2-william-street-ringwood-vic-3134-2016740104,Air conditioning*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Garden*,0.9-1.2-1.2,3,
1/14-paxton-street-ringwood-vic-3134,681000,06-Feb-2021,2,1,1,306,m2,House,https://www.domain.com.au/1-14-paxton-street-ringwood-vic-3134-2016726572,,0.6-0.9-1.3,3,
7-panfield-avenue-ringwood-vic-3134,817000,29-Jan-2021,2,1,-1,740,m2,House,https://www.domain.com.au/7-panfield-avenue-ringwood-vic-3134-2016732991,,0.1-0.4-0.5,3,Jan/2021/410.0/SOLD
43-caroline-street-ringwood-vic-3134,692000,22-Dec-2020,2,1,1,245,m2,House,https://www.domain.com.au/43-caroline-street-ringwood-vic-3134-2016666596,Air conditioning-Built in wardrobes-Courtyard,0.5-0.5-6,3,Dec/2020/692000.0/SOLD-Apr/2014/485000.0/SOLD
1/12-heather-grove-ringwood-vic-3134,650000,18-Dec-2020,2,1,1,300,m2,House,https://www.domain.com.au/1-12-heather-grove-ringwood-vic-3134-2016689947,Air conditioning*-Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Shed*-Garden*,1.4-1.7-4.6,3,
30-andrew-street-ringwood-vic-3134,652000,17-Dec-2020,2,1,-1,403,m2,House,https://www.domain.com.au/30-andrew-street-ringwood-vic-3134-2016658590,Fireplace(s)*,0.8-1.6-1.2,3,Dec/2020/652000.0/SOLD
41-mullum-mullum-road-ringwood-vic-3134,755000,02-Nov-2020,2,1,1,411,m2,House,https://www.domain.com.au/41-mullum-mullum-road-ringwood-vic-3134-2016572986,,0.4-0.7-1.1,3,Nov/2020/755000.0/SOLD-Nov/2015/623000.0/SOLD
9-mckay-court-ringwood-vic-3134,1050000,27-Oct-2020,2,1,-1,1081,m2,House,https://www.domain.com.au/9-mckay-court-ringwood-vic-3134-2016531637,,0.8-1-4.9,3,Oct/2020/300.0/SOLD-Jul/2015/1050000.0/SOLD
1/352-maroondah-highway-ringwood-vic-3134,615000,09-Sep-2020,2,1,3,450,m2,House,https://www.domain.com.au/1-352-maroondah-highway-ringwood-vic-3134-2016379367,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Carpeted-Study,0.9-0.9-8,3,
23-barkly-street-ringwood-vic-3134,931000,14-Jun-2020,2,1,1,710,m2,House,https://www.domain.com.au/23-barkly-street-ringwood-vic-3134-2016278234,,1.2-1.4-5.1,3,Jun/2020/450.0/SOLD-Aug/2012/931000.0/SOLD
19-dampier-grove-ringwood-vic-3134,660000,05-Mar-2020,2,1,1,204,m2,House,https://www.domain.com.au/19-dampier-grove-ringwood-vic-3134-2016066845,Close to transport-Close to shops-Close to schools-Courtyard,0.7-2.3-1.6,3,Mar/2020/385.0/SOLD-Aug/1988/660000.0/SOLD
1/36-great-ryrie-street-ringwood-vic-3134,635000,11-Dec-2019,2,1,-1,-1,None,House,https://www.domain.com.au/1-36-great-ryrie-street-ringwood-vic-3134-2015755273,,0.3-0.6-6,3,
8-fyfe-avenue-ringwood-vic-3134,1410000,16-Nov-2019,2,1,1,1336,m2,House,https://www.domain.com.au/8-fyfe-avenue-ringwood-vic-3134-2015792436,,0.3-0.6-1,3,Nov/2019/1410000.0/SOLD-Apr/2016/1211000.0/SOLD
2/20-bourke-street-ringwood-vic-3134,630250,23-Oct-2019,2,1,1,-1,None,House,https://www.domain.com.au/2-20-bourke-street-ringwood-vic-3134-2015704879,Built in wardrobes-Close to transport-Close to shops-Ensuite-Courtyard,1.2-1.3-0.8,3,
33-grant-crescent-west-ringwood-vic-3134,615000,08-Oct-2019,2,1,-1,-1,None,House,https://www.domain.com.au/33-grant-crescent-west-ringwood-vic-3134-2015636068,,0.7-2.2-1.7,3,Oct/2019/615000.0/SOLD
62-wantirna-road-ringwood-vic-3134,665000,14-Sep-2019,2,1,1,340,m2,House,https://www.domain.com.au/62-wantirna-road-ringwood-vic-3134-2015526993,,1-1.3-5.2,3,Sep/2019/665000.0/SOLD-Dec/2016/582620.0/SOLD
8-andrew-street-ringwood-vic-3134,721500,27-Jul-2019,2,1,2,405,m2,House,https://www.domain.com.au/8-andrew-street-ringwood-vic-3134-2015417508,,0.9-1.4-1.1,3,Jul/2019/721500.0/SOLD-Jul/2014/505000.0/SOLD-Mar/1996/92000.0/SOLD
19-hillcrest-avenue-ringwood-vic-3134,616000,27-Jul-2019,2,2,1,926,m2,House,https://www.domain.com.au/19-hillcrest-avenue-ringwood-vic-3134-2015403165,,0.8-2.1-1.5,3,Mar/2021/678000.0/SOLD-Jul/2019/385.0/SOLD
41-albert-street-ringwood-vic-3134,730000,12-Jun-2019,2,1,3,690,m2,House,https://www.domain.com.au/41-albert-street-ringwood-vic-3134-2015250277,Laundry,1.4-1.5-5.1,3,Jun/2019/730000.0/SOLD-Mar/2007/290000.0/SOLD-Jul/1996/94000.0/SOLD
